140 1.54221 1.60129 -0.0166779   8.13734 8.53968 7.64495 -0.657769 -0.0748542 0.10065 -0.659607 -0.0749623 0.100518
141 1.54405 1.59717 -0.0181885   8.13496 8.54714 7.63492 -0.668998 -0.0766268 0.103211 -0.670765 -0.0767309 0.103082
142 1.54514 1.58792 -0.0199125   8.13207 8.55401 7.62467 -0.67988 -0.0783857 0.105764 -0.681557 -0.0784847 0.10564
143 1.54577 1.57344 -0.0218809   8.1286 8.56015 7.61424 -0.690269 -0.0801147 0.108286 -0.691841 -0.0802078 0.108169
144 1.54624 1.55369 -0.0241208   8.1245 8.56538 7.60369 -0.700013 -0.0817964 0.110755 -0.701466 -0.0818828 0.110646
145 1.54685 1.52872 -0.0266553   8.11973 8.56955 7.59308 -0.708957 -0.0834125 0.113144 -0.710277 -0.0834912 0.113043
146 1.54786 1.49869 -0.0295011   8.11424 8.57252 7.58247 -0.716945 -0.0849442 0.115426 -0.718122 -0.0850147 0.115336
147 1.54952 1.46389 -0.0326664   8.10802 8.57413 7.57192 -0.723829 -0.0863732 0.117576 -0.724854 -0.0864348 0.117496
148 1.55205 1.42474 -0.0361495   8.10104 8.57427 7.56153 -0.729474 -0.0876819 0.119569 -0.730343 -0.0877344 0.1195
149 1.55565 1.3818 -0.0399388   8.09333 8.57286 7.55137 -0.733765 -0.0888548 0.121381 -0.734475 -0.088898 0.121324
150 1.56043 1.33577 -0.0440103   8.0849 8.56982 7.54151 -0.73661 -0.0898788 0.122993 -0.737163 -0.0899125 0.122948
151 1.5665 1.28748 -0.0483285   8.07581 8.56516 7.53205 -0.737953 -0.0907439 0.124389 -0.73835 -0.0907683 0.124357
152 1.57391 1.23789 -0.0528464   8.06614 8.55891 7.52306 -0.737769 -0.091444 0.125561 -0.738016 -0.0914593 0.125541
153 1.58269 1.18805 -0.0575074   8.05597 8.55115 7.51461 -0.736073 -0.0919775 0.126504 -0.736179 -0.0919841 0.126495
154 1.59284 1.13908 -0.0622484   8.04541 8.54201 7.50676 -0.73292 -0.092347 0.127221 -0.732895 -0.0923454 0.127223
155 1.60439 1.09214 -0.0670036   8.03459 8.53168 7.49958 -0.728403 -0.0925599 0.127722 -0.728257 -0.0925507 0.127734
156 1.61741 1.04841 -0.0717076   8.02363 8.52035 7.49307 -0.722645 -0.0926276 0.128023 -0.722392 -0.0926115 0.128045
157 1.63201 1.0091 -0.0762931   8.01268 8.5083 7.4873 -0.715812 -0.0925663 0.128147 -0.715465 -0.092544 0.128177
158 1.64828 0.975373 -0.0806939   8.00187 8.49579 7.48224 -0.708072 -0.0923937 0.128121 -0.707646 -0.0923662 0.128158
159 1.66634 0.948303 -0.0848485   7.99131 8.48308 7.4779 -0.699623 -0.0921312 0.127975 -0.699133 -0.0920993 0.128018
160 1.68637 0.928808 -0.0887075   7.98114 8.47047 7.47425 -0.690661 -0.0918006 0.127743 -0.690124 -0.0917653 0.12779
161 1.70859 0.91766 -0.0922353   7.97143 8.45821 7.47125 -0.681382 -0.0914245 0.127458 -0.680815 -0.0913869 0.127509
162 1.73333 0.915472 -0.0954118   7.96227 8.44654 7.46886 -0.671972 -0.0910248 0.127155 -0.671391 -0.090986 0.127207
163 1.76097 0.922689 -0.0982329   7.95372 8.43565 7.46702 -0.662602 -0.0906223 0.126863 -0.662024 -0.0905832 0.126915
164 1.79194 0.939594 -0.100709   7.94582 8.42572 7.46569 -0.653421 -0.0902353 0.126611 -0.65286 -0.0901971 0.126662
165 1.8267 0.966294 -0.102866   7.93861 8.41685 7.46479 -0.644553 -0.08988 0.126422 -0.644025 -0.0898436 0.126471
166 1.86572 1.00273 -0.104742   7.93207 8.40913 7.46427 -0.636101 -0.0895697 0.126316 -0.635618 -0.0895361 0.126361
167 1.90947 1.04869 -0.106385   7.92621 8.4026 7.46408 -0.62814 -0.0893146 0.126307 -0.627713 -0.0892846 0.126347
168 1.95835 1.10377 -0.107854   7.92102 8.39725 7.46417 -0.620724 -0.0891225 0.126405 -0.620361 -0.0890967 0.12644
169 2.01271 1.16744 -0.109212   7.91645 8.39305 7.4645 -0.613887 -0.0889982 0.126616 -0.613592 -0.0889771 0.126644
170 2.07279 1.23901 -0.110528   7.91249 8.38996 7.46503 -0.607645 -0.0889444 0.126942 -0.607419 -0.088928 0.126963
171 2.13873 1.31765 -0.111868   7.90908 8.3879 7.46573 -0.601999 -0.0889615 0.127381 -0.601839 -0.0889498 0.127397
172 2.21051 1.40242 -0.113301   7.90618 8.38678 7.46657 -0.596939 -0.0890484 0.127931 -0.59684 -0.0890411 0.127941
173 2.28797 1.49226 -0.114886   7.90373 8.38653 7.46752 -0.592447 -0.0892029 0.128587 -0.592399 -0.0891992 0.128592
174 2.37138 1.58666 -0.11669   7.9017 8.38705 7.46857 -0.588498 -0.0894213 0.129343 -0.588487 -0.0894205 0.129344
175 2.45937 1.68297 -0.11878   7.90003 8.38826 7.4697 -0.585059 -0.0896997 0.130192 -0.58507 -0.0897006 0.130191
176 2.55017 1.7808 -0.121011   7.89868 8.39008 7.47089 -0.582097 -0.0900335 0.131128 -0.582114 -0.0900348 0.131127
177 2.64538 1.87946 -0.123602   7.8976 8.39244 7.47212 -0.579578 -0.090418 0.132145 -0.579583 -0.0904184 0.132144
178 2.74315 1.97747 -0.126487   7.89675 8.39528 7.47339 -0.577463 -0.0908484 0.133235 -0.577439 -0.0908465 0.133237
179 2.84254 2.07377 -0.129659   7.89609 8.39853 7.47468 -0.575716 -0.0913201 0.134392 -0.575646 -0.0913145 0.134399
180 2.9426 2.16741 -0.133099   7.89559 8.40213 7.47599 -0.574302 -0.0918284 0.13561 -0.574171 -0.0918179 0.135623
181 3.04236 2.25757 -0.13678   7.89522 8.40605 7.47731 -0.573184 -0.092369 0.136883 -0.57298 -0.0923525 0.136905
182 3.14087 2.34352 -0.140667   7.89497 8.41023 7.47864 -0.572329 -0.0929379 0.138207 -0.572042 -0.0929145 0.138237
183 3.23725 2.42471 -0.14472   7.8948 8.41464 7.47996 -0.571705 -0.0935311 0.139574 -0.571329 -0.0935001 0.139614
184 3.33069 2.50069 -0.148892   7.89469 8.41923 7.48128 -0.571283 -0.0941453 0.140982 -0.570813 -0.0941061 0.141032
185 3.42048 2.57117 -0.153137   7.89464 8.42397 7.48259 -0.571037 -0.0947769 0.142424 -0.57047 -0.0947294 0.142485
186 3.50601 2.63596 -0.157407   7.89462 8.42883 7.48389 -0.57094 -0.0954231 0.143896 -0.570278 -0.095367 0.143968
187 3.58676 2.695 -0.161657   7.89463 8.43378 7.48518 -0.570972 -0.0960811 0.145395 -0.570216 -0.0960165 0.145478
188 3.66234 2.7483 -0.165844   7.89465 8.4388 7.48645 -0.571112 -0.0967483 0.146917 -0.570267 -0.0966754 0.14701
189 3.73245 2.79597 -0.169927   7.89466 8.44385 7.48771 -0.571343 -0.0974226 0.148457 -0.570414 -0.0973417 0.14856
190 3.79687 2.83819 -0.173868   7.89467 8.44892 7.48896 -0.571649 -0.0981019 0.150014 -0.570642 -0.0980134 0.150126
191 3.85549 2.87515 -0.177637   7.89467 8.45398 7.49019 -0.572018 -0.0987845 0.151583 -0.570938 -0.0986888 0.151704
192 3.90823 2.9071 -0.181202   7.89464 8.45903 7.49139 -0.572436 -0.0994688 0.153163 -0.571291 -0.0993664 0.153293
193 3.9551 2.93432 -0.184539   7.89458 8.46404 7.49258 -0.572895 -0.100153 0.154752 -0.571691 -0.100045 0.154888
194 3.99612 2.95707 -0.187627   7.89448 8.469 7.49374 -0.573385 -0.100837 0.156347 -0.572129 -0.100723 0.15649
195 4.03137 2.97563 -0.190446   7.89434 8.47391 7.49487 -0.573899 -0.101519 0.157946 -0.572598 -0.1014 0.158096
